,job_name,salary,job_area,company_name
0,测试工程师,15-30K,成都·武侯区,平安城科
1,测试工程师,15-30K,成都·武侯区,美团新零售业务部
2,测试工程师,15-30K,成都·武侯区,美团新零售业务部
3,测试工程师,15-30K,成都,华为成都研究所
4,测试工程师,15-30K,成都·武侯区,美团点评
5,测试工程师,15-30K·18薪,成都·郫都区,华为
6,测试工程师,15-30K,成都·武侯区,客如云
7,测试工程师,18-30K,成都·武侯区,支付宝
8,测试工程师,15-30K,成都,华为成都IT硬件
9,测试工程师,12-22K,成都·武侯区,西瓜创客
10,测试工程师,25-35K·18薪,成都·郫都区,深圳华为技术有限...
11,测试工程师,15-25K,成都,华为技术有限公司
12,测试工程师,25-50K,成都·郫都区,华为技术有限公司
13,测试工程师,15-30K,成都,华为技术有限公司
14,测试工程师,15-25K,成都·郫都区,华为
15,测试工程师,16-25K·14薪,成都·武侯区,美菜网
16,测试工程师,15-30K·13薪,成都,百词斩
17,测试工程师,15-30K,成都,华为
18,测试工程师,25-35K·18薪,成都·郫都区,深圳华为技术有限...
19,测试工程师,20-29K,成都,华为
20,测试工程师,20-40K,成都·郫都区,华为技术有限公司
21,测试工程师,14-22K·13薪,成都·双流区,绿盟科技
22,测试工程师,15-25K,成都·郫都区,华为
23,测试工程师,15-25K·13薪,成都·武侯区,百词斩
24,测试工程师,11-20K,成都·武侯区,乐信圣文
25,测试工程师,12-20K,成都·武侯区,客如云
26,测试工程师,11-22K·13薪,成都,第壹街舞
27,测试工程师,15-20K,成都·郫都区,华为
28,测试工程师,13-20K,成都·武侯区,欧珀
29,测试工程师,11-20K,成都,绿盟科技
